,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwidth_min,wwidth_q1,wwidth_q5,wwidth_q25,wwidth_q50,wwidth_q75,wwidth_q95,wwidth_q99,wwidth_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
count,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,strahler3
mean,0.1688595744680851,0.20013191489361706,0.21296170212765955,0.24181702127659574,0.27848085106382986,0.3478680851063829,0.6060297872340424,0.9138255319148936,1.8398085106382984,0.3377361702127659,0.400344680851064,0.42585106382978727,0.4837276595744682,0.5569404255319147,0.6957617021276596,1.2120638297872337,1.8277106382978725,3.679540425531916,0.07470638297872337,0.08714893617021284,0.09163404255319146,0.10155319148936172,0.11371063829787241,0.13561276595744676,0.20673191489361717,0.276472340425532,0.43877872340425567,-0.001489361702127657,0.005574468085106376,0.007608510638297858,0.01222978723404253,0.014868085106382966,0.01687659574468082,0.018902127659574438,0.020021276595744656,0.06071489361702126,strahler3
std,0.09104738049798382,0.10579663023244053,0.1120019966114606,0.1259872997926299,0.1434921997318599,0.17614061630450115,0.29144667741388913,0.41956923293501597,0.7674704604214858,0.18208347435954395,0.21150441066354314,0.22392195476501744,0.2519476659316983,0.28701095281192,0.35234329519987184,0.5828564279189744,0.8390926375398148,1.5349460503979602,0.058788871135104136,0.06529151550336902,0.06811762475280532,0.07420588375739023,0.08150807005832961,0.0942419545116719,0.1326993599492209,0.16735576223947418,0.23694487524389773,0.05835130578095896,0.002616063795086043,0.0037175852485201374,0.006209859643514019,0.00765520621635682,0.008760688533168812,0.009970201100460988,0.010541512082989679,0.4993774239284042,strahler3
min,0.016,0.019,0.021,0.024,0.028999999999999998,0.038,0.073,0.12,0.285,0.031,0.039,0.042,0.049,0.057999999999999996,0.075,0.146,0.24,0.5710000000000001,-0.004,0.026000000000000002,0.027000000000000003,0.031,0.035,0.042,0.068,0.09300000000000001,0.158,-0.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strahler3
1%,0.01702,0.02102,0.023020000000000002,0.027020000000000002,0.0317,0.04104,0.07908,0.12980000000000003,0.31065999999999994,0.03436,0.043039999999999995,0.046040000000000005,0.05338,0.06306,0.08208,0.15849999999999997,0.25960000000000005,0.62166,0.0006799999999999997,0.027000000000000003,0.028999999999999998,0.032,0.037000000000000005,0.045,0.07134,0.099,0.16768,0.00033999999999999986,0.002,0.002,0.003,0.004,0.004,0.004,0.00434,0.005,strahler3
5%,0.025,0.031,0.0337,0.0387,0.0464,0.0604,0.11750000000000002,0.19240000000000002,0.46730000000000005,0.0497,0.0627,0.0674,0.0784,0.09240000000000001,0.1208,0.23470000000000002,0.38580000000000003,0.9346000000000001,0.023,0.031,0.033,0.037700000000000004,0.0427,0.052700000000000004,0.0861,0.11870000000000001,0.19399999999999998,0.001,0.002,0.002,0.003,0.004,0.004,0.005,0.005,0.006,strahler3
25%,0.0915,0.112,0.12,0.1375,0.16,0.20700000000000002,0.3855,0.618,1.287,0.1825,0.22349999999999998,0.2405,0.275,0.319,0.41400000000000003,0.771,1.2365,2.574,0.0345,0.041499999999999995,0.044000000000000004,0.0495,0.055499999999999994,0.068,0.111,0.157,0.2665,0.002,0.003,0.005,0.006999999999999999,0.008,0.009000000000000001,0.01,0.01,0.011000000000000001,strahler3
50%,0.172,0.204,0.217,0.24600000000000002,0.282,0.35,0.606,0.9420000000000001,1.9240000000000002,0.345,0.408,0.434,0.49200000000000005,0.564,0.701,1.213,1.8840000000000001,3.8489999999999998,0.048,0.055999999999999994,0.059000000000000004,0.066,0.076,0.095,0.154,0.21600000000000003,0.368,0.003,0.005,0.008,0.012,0.015,0.018000000000000002,0.02,0.021,0.024,strahler3
75%,0.245,0.2875,0.305,0.3485,0.39849999999999997,0.491,0.8465,1.2590000000000001,2.4805,0.489,0.575,0.6105,0.6975,0.7969999999999999,0.982,1.6935,2.5180000000000002,4.961,0.1005,0.112,0.116,0.126,0.14,0.1655,0.2485,0.3345,0.5425,0.004,0.006999999999999999,0.0105,0.017,0.021,0.0235,0.026500000000000003,0.027999999999999997,0.0335,strahler3
95%,0.321,0.3758999999999999,0.39849999999999997,0.45009999999999983,0.5143999999999999,0.6356999999999999,1.0802,1.5683999999999996,2.9503999999999997,0.6413,0.7510999999999999,0.7967,0.8998999999999997,1.0284999999999997,1.2716999999999996,2.1604,3.1364,5.9014999999999995,0.2003,0.22659999999999997,0.23759999999999998,0.2603,0.28800000000000003,0.3363,0.4942,0.6303000000000001,0.9514999999999998,0.006,0.01,0.013299999999999984,0.022000000000000002,0.027000000000000003,0.031,0.035,0.037000000000000005,0.04719999999999993,strahler3
